"Offense","Offense Conference","Defense","Defense Conference","Game Id","Id","Drive Number","Scoring","Start Period","Start Yardline","Start Yards To Goal","Start Time Minutes","Start Time Seconds","End Period","End Yardline","End Yards To Goal","End Time Minutes","End Time Seconds","Elapsed Minutes","Elapsed Seconds","Plays","Yards","Drive Result","Is Home Offense","Start Offense Score","Start Defense Score","End Offense Score","End Defense Score"
"Middle Tennessee","Conference USA","Jacksonville State","Conference USA","401520294","4015202941","1","false","1","25","75","15","0","1","10","90","13","23","1","37","3","-15","PUNT","true","0","0","0","0"
"Jacksonville State","Conference USA","Middle Tennessee","Conference USA","401520294","4015202942","2","false","1","36","36","13","23","1","16","16","11","49","1","34","6","20","INT","false","0","0","0","0"
"Middle Tennessee","Conference USA","Jacksonville State","Conference USA","401520294","4015202943","3","false","1","21","79","11","49","1","18","82","10","11","1","38","3","-3","PUNT","true","0","0","0","0"
"Jacksonville State","Conference USA","Middle Tennessee","Conference USA","401520294","4015202944","4","false","1","53","53","10","11","1","45","45","7","51","2","20","6","8","PUNT","false","0","0","0","0"
"Middle Tennessee","Conference USA","Jacksonville State","Conference USA","401520294","4015202945","5","false","1","10","90","7","51","1","53","47","5","18","2","33","4","43","PUNT","true","0","0","0","0"
"Jacksonville State","Conference USA","Middle Tennessee","Conference USA","401520294","4015202946","6","false","1","99","99","5","18","1","95","95","4","9","1","9","3","4","PUNT","false","0","0","0","0"
"Middle Tennessee","Conference USA","Jacksonville State","Conference USA","401520294","4015202947","7","true","1","50","50","4","9","1","92","8","0","43","3","26","10","42","FG","true","0","0","3","0"
"Jacksonville State","Conference USA","Middle Tennessee","Conference USA","401520294","4015202948","8","false","1","75","75","0","43","2","55","55","14","15","1","28","6","20","PUNT","false","0","3","0","3"
"Middle Tennessee","Conference USA","Jacksonville State","Conference USA","401520294","4015202949","9","false","2","42","58","14","15","2","47","53","12","9","2","6","3","5","PUNT","true","3","0","3","0"
"Jacksonville State","Conference USA","Middle Tennessee","Conference USA","401520294","40152029410","10","true","2","85","85","12","9","2","0","0","11","21","0","48","3","85","TD","false","0","3","7","3"
"Middle Tennessee","Conference USA","Jacksonville State","Conference USA","401520294","40152029411","11","true","2","25","75","11","21","2","100","0","7","49","3","32","8","75","TD","true","3","7","10","7"
"Jacksonville State","Conference USA","Middle Tennessee","Conference USA","401520294","40152029412","12","false","2","75","75","7","49","2","71","71","6","26","1","23","3","4","PUNT","false","7","10","7","10"
"Middle Tennessee","Conference USA","Jacksonville State","Conference USA","401520294","40152029413","13","true","2","29","71","6","26","2","100","0","6","12","0","14","1","71","TD","true","17","7","17","7"
"Jacksonville State","Conference USA","Middle Tennessee","Conference USA","401520294","40152029414","14","false","2","75","75","6","12","2","52","52","5","6","1","6","5","23","DOWNS","false","7","17","7","17"
"Middle Tennessee","Conference USA","Jacksonville State","Conference USA","401520294","40152029415","15","true","2","52","48","5","6","2","100","0","3","54","1","12","4","48","TD","true","17","7","23","7"
"Jacksonville State","Conference USA","Middle Tennessee","Conference USA","401520294","40152029416","16","false","2","75","75","3","54","2","69","69","3","1","0","53","3","6","PUNT","false","7","23","7","23"
"Middle Tennessee","Conference USA","Jacksonville State","Conference USA","401520294","40152029417","17","false","2","27","73","3","1","2","50","50","1","2","1","59","6","23","PUNT","true","23","7","23","7"
"Jacksonville State","Conference USA","Middle Tennessee","Conference USA","401520294","40152029418","18","false","2","82","82","1","2","2","76","76","0","14","0","48","3","6","PUNT","false","7","23","7","23"
"Middle Tennessee","Conference USA","Jacksonville State","Conference USA","401520294","40152029419","19","false","2","32","68","0","14","2","40","60","0","0","0","14","1","8","END OF HALF","true","23","7","23","7"
"Jacksonville State","Conference USA","Middle Tennessee","Conference USA","401520294","40152029420","20","false","3","75","75","15","0","3","75","75","14","38","0","22","3","0","PUNT","false","7","23","7","23"
"Middle Tennessee","Conference USA","Jacksonville State","Conference USA","401520294","40152029421","21","false","3","35","65","14","38","3","34","66","13","6","1","32","3","-1","INT","true","23","7","23","7"
"Jacksonville State","Conference USA","Middle Tennessee","Conference USA","401520294","40152029422","22","true","3","40","40","13","6","3","0","0","11","31","1","35","6","40","TD","false","7","23","14","23"
"Middle Tennessee","Conference USA","Jacksonville State","Conference USA","401520294","40152029423","23","false","3","25","75","11","31","3","43","57","8","4","3","27","6","18","PUNT","true","23","14","23","14"
"Jacksonville State","Conference USA","Middle Tennessee","Conference USA","401520294","40152029424","24","false","3","80","80","8","4","3","73","73","6","46","1","18","3","7","PUNT","false","14","23","14","23"
"Jacksonville State","Conference USA","Middle Tennessee","Conference USA","401520294","40152029425","25","true","3","27","27","6","46","3","0","0","5","21","1","25","4","27","TD","false","14","23","21","23"
"Middle Tennessee","Conference USA","Jacksonville State","Conference USA","401520294","40152029426","26","false","3","25","75","5","21","3","27","73","3","56","1","25","3","2","PUNT","true","23","21","23","21"
"Jacksonville State","Conference USA","Middle Tennessee","Conference USA","401520294","40152029427","27","true","3","65","65","3","56","3","25","25","1","3","2","53","9","40","FG","false","21","23","24","23"
"Middle Tennessee","Conference USA","Jacksonville State","Conference USA","401520294","40152029428","28","false","3","25","75","1","3","4","50","50","13","22","2","41","6","25","PUNT","true","23","24","23","24"
"Jacksonville State","Conference USA","Middle Tennessee","Conference USA","401520294","40152029429","29","true","4","92","92","13","22","4","0","0","12","14","1","8","3","92","TD","false","24","23","31","23"
"Middle Tennessee","Conference USA","Jacksonville State","Conference USA","401520294","40152029430","30","false","4","25","75","12","14","4","81","19","10","15","1","59","6","56","INT","true","23","31","23","31"
"Jacksonville State","Conference USA","Middle Tennessee","Conference USA","401520294","40152029431","31","true","4","17","17","10","15","4","0","0","7","52","2","23","6","17","TD","false","31","23","38","23"
"Middle Tennessee","Conference USA","Jacksonville State","Conference USA","401520294","40152029432","32","false","4","25","75","7","52","4","73","27","4","12","3","40","11","48","DOWNS","true","23","38","23","38"
"Jacksonville State","Conference USA","Middle Tennessee","Conference USA","401520294","40152029433","33","false","4","73","73","4","12","4","68","68","3","54","0","18","3","5","PUNT","false","38","23","38","23"
"Middle Tennessee","Conference USA","Jacksonville State","Conference USA","401520294","40152029434","34","true","4","32","68","3","54","4","26","74","3","42","0","12","1","-6","FUMBLE RETURN TD","true","23","45","23","45"
"Middle Tennessee","Conference USA","Jacksonville State","Conference USA","401520294","40152029435","35","true","4","25","75","3","42","4","100","0","3","29","0","13","1","75","TD","true","23","45","30","45"
"Jacksonville State","Conference USA","Middle Tennessee","Conference USA","401520294","40152029436","36","false","4","31","31","3","28","4","24","24","1","3","2","25","4","7","MISSED FG","false","45","30","45","30"
"Middle Tennessee","Conference USA","Jacksonville State","Conference USA","401520294","40152029437","37","false","4","24","76","1","3","4","72","28","0","0","1","3","4","48","END OF GAME","true","30","45","30","45"
"Western Kentucky","Conference USA","Louisiana Tech","Conference USA","401520295","4015202951","1","false","1","75","75","15","0","1","74","74","14","15","0","45","2","1","INT","false","0","0","0","0"
"Louisiana Tech","Conference USA","Western Kentucky","Conference USA","401520295","4015202952","2","true","1","58","42","14","15","1","100","0","12","35","1","40","5","42","TD","true","0","0","7","0"
"Western Kentucky","Conference USA","Louisiana Tech","Conference USA","401520295","4015202953","3","true","1","75","75","12","35","1","0","0","12","3","0","32","2","75","TD","false","0","7","7","7"
"Louisiana Tech","Conference USA","Western Kentucky","Conference USA","401520295","4015202954","4","false","1","25","75","12","3","1","71","29","7","10","4","53","10","46","DOWNS","true","7","7","7","7"
"Western Kentucky","Conference USA","Louisiana Tech","Conference USA","401520295","4015202955","5","false","1","70","70","7","10","1","67","67","6","32","0","38","3","3","PUNT","false","7","7","7","7"
"Louisiana Tech","Conference USA","Western Kentucky","Conference USA","401520295","4015202956","6","false","1","30","70","6","32","1","33","67","5","40","0","52","3","3","PUNT","true","7","7","7","7"
"Western Kentucky","Conference USA","Louisiana Tech","Conference USA","401520295","4015202957","7","true","1","80","80","5","40","1","0","0","5","17","0","23","2","80","TD","false","7","7","14","7"
"Louisiana Tech","Conference USA","Western Kentucky","Conference USA","401520295","4015202958","8","false","1","14","86","5","12","1","23","77","3","41","1","31","3","9","INT","true","7","14","7","14"
"Western Kentucky","Conference USA","Louisiana Tech","Conference USA","401520295","4015202959","9","true","1","16","16","3","41","1","0","0","2","23","1","18","3","16","TD","false","14","7","21","7"
"Louisiana Tech","Conference USA","Western Kentucky","Conference USA","401520295","40152029510","10","false","1","25","75","2","23","2","39","61","12","21","5","2","8","14","PUNT","true","7","21","7","21"
"Western Kentucky","Conference USA","Louisiana Tech","Conference USA","401520295","40152029511","11","true","2","86","86","12","21","2","0","0","9","47","2","34","6","86","TD","false","21","7","28","7"
"Louisiana Tech","Conference USA","Western Kentucky","Conference USA","401520295","40152029512","12","false","2","25","75","9","47","2","25","75","9","23","0","24","3","0","PUNT","true","7","28","7","28"
"Western Kentucky","Conference USA","Louisiana Tech","Conference USA","401520295","40152029513","13","false","2","74","74","9","23","2","67","67","7","51","1","32","3","7","PUNT","false","28","7","28","7"
"Louisiana Tech","Conference USA","Western Kentucky","Conference USA","401520295","40152029514","14","false","2","40","60","7","51","2","49","51","5","46","2","5","4","9","PUNT","true","7","28","7","28"
"Western Kentucky","Conference USA","Louisiana Tech","Conference USA","401520295","40152029515","15","true","2","88","88","5","46","2","0","0","0","20","5","26","14","88","TD","false","28","7","35","7"
"Louisiana Tech","Conference USA","Western Kentucky","Conference USA","401520295","40152029516","16","false","2","38","62","0","14","2","64","36","0","0","0","14","3","26","MISSED FG","true","7","35","7","35"
"Louisiana Tech","Conference USA","Western Kentucky","Conference USA","401520295","40152029517","17","false","3","25","75","15","0","3","31","69","12","58","2","2","3","6","PUNT","true","7","35","7","35"
"Western Kentucky","Conference USA","Louisiana Tech","Conference USA","401520295","40152029518","18","false","3","76","76","12","58","3","58","58","10","58","2","0","6","18","PUNT","false","35","7","35","7"
"Louisiana Tech","Conference USA","Western Kentucky","Conference USA","401520295","40152029519","19","true","3","35","65","10","58","3","100","0","8","41","2","17","7","65","TD","true","7","35","14","35"
"Western Kentucky","Conference USA","Louisiana Tech","Conference USA","401520295","40152029520","20","false","3","75","75","8","41","3","46","46","5","11","3","30","6","29","DOWNS","false","35","14","35","14"
"Louisiana Tech","Conference USA","Western Kentucky","Conference USA","401520295","40152029521","21","true","3","46","54","5","11","3","100","0","3","13","1","58","4","54","TD","true","14","35","21","35"
"Western Kentucky","Conference USA","Louisiana Tech","Conference USA","401520295","40152029522","22","false","3","75","75","3","13","3","66","66","1","37","1","36","3","9","PUNT","false","35","21","35","21"
"Louisiana Tech","Conference USA","Western Kentucky","Conference USA","401520295","40152029523","23","false","3","26","74","1","37","4","31","69","12","5","4","32","7","5","PUNT","true","21","35","21","35"
"Western Kentucky","Conference USA","Louisiana Tech","Conference USA","401520295","40152029524","24","false","4","76","76","12","5","4","70","70","10","36","1","29","3","6","PUNT","false","35","21","35","21"
"Louisiana Tech","Conference USA","Western Kentucky","Conference USA","401520295","40152029525","25","false","4","49","51","10","36","4","93","7","6","22","4","14","12","44","DOWNS","true","21","35","21","35"
"Western Kentucky","Conference USA","Louisiana Tech","Conference USA","401520295","40152029526","26","false","4","93","93","6","22","4","87","87","4","52","1","30","3","6","PUNT","false","35","21","35","21"
"Louisiana Tech","Conference USA","Western Kentucky","Conference USA","401520295","40152029527","27","true","4","53","47","4","52","4","100","0","3","9","1","43","6","47","TD","true","21","35","28","35"
"Western Kentucky","Conference USA","Louisiana Tech","Conference USA","401520295","40152029528","28","false","4","75","75","3","9","4","71","71","1","59","1","10","3","4","PUNT","false","35","28","35","28"
"Louisiana Tech","Conference USA","Western Kentucky","Conference USA","401520295","40152029529","29","false","4","38","62","1","59","4","38","62","1","40","0","19","2","0","INT","true","28","35","28","35"
"Western Kentucky","Conference USA","Louisiana Tech","Conference USA","401520295","40152029530","30","false","4","47","47","1","40","4","49","49","0","0","1","40","3","-2","END OF GAME","false","35","28","35","28"
"Liberty","Conference USA","Sam Houston","Conference USA","401520296","4015202961","1","true","1","26","74","14","54","1","100","0","12","52","2","2","5","74","TD","true","0","0","7","0"
"Sam Houston","Conference USA","Liberty","Conference USA","401520296","4015202962","2","true","1","85","85","12","46","1","0","0","6","46","6","0","12","85","TD","false","0","7","7","7"
"Liberty","Conference USA","Sam Houston","Conference USA","401520296","4015202963","3","false","1","27","73","6","40","1","28","72","5","59","0","41","2","1","INT","true","7","7","7","7"
"Sam Houston","Conference USA","Liberty","Conference USA","401520296","4015202964","4","true","1","20","20","5","59","1","16","16","4","27","1","32","4","4","FG","false","7","7","10","7"
"Liberty","Conference USA","Sam Houston","Conference USA","401520296","4015202965","5","true","1","23","77","4","20","2","100","0","14","54","4","26","9","77","TD","true","7","10","14","10"
"Sam Houston","Conference USA","Liberty","Conference USA","401520296","4015202966","6","false","2","80","80","14","48","2","76","76","12","31","2","17","3","4","PUNT","false","10","14","10","14"
"Liberty","Conference USA","Sam Houston","Conference USA","401520296","4015202967","7","false","2","19","81","12","31","2","56","44","5","51","6","40","9","37","PUNT","true","14","10","14","10"
"Sam Houston","Conference USA","Liberty","Conference USA","401520296","4015202968","8","false","2","80","80","5","51","2","77","77","3","36","2","15","3","3","PUNT","false","10","14","10","14"
"Liberty","Conference USA","Sam Houston","Conference USA","401520296","4015202969","9","true","2","38","62","3","36","2","100","0","2","21","1","15","4","62","TD","true","14","10","21","10"
"Sam Houston","Conference USA","Liberty","Conference USA","401520296","40152029610","10","false","2","75","75","2","21","2","35","35","1","12","1","9","4","40","INT","false","10","21","10","21"
"Liberty","Conference USA","Sam Houston","Conference USA","401520296","40152029611","11","false","2","20","80","1","12","2","25","75","0","8","1","4","3","5","PUNT","true","21","10","21","10"
"Sam Houston","Conference USA","Liberty","Conference USA","401520296","40152029612","12","false","2","68","68","0","8","2","70","70","0","0","0","8","1","-2","END OF HALF","false","10","21","10","21"
"Sam Houston","Conference USA","Liberty","Conference USA","401520296","40152029613","13","false","3","75","75","15","0","3","45","45","13","7","1","53","5","30","PUNT","false","10","21","10","21"
"Liberty","Conference USA","Sam Houston","Conference USA","401520296","40152029614","14","false","3","11","89","13","7","3","32","68","10","9","2","58","6","21","PUNT","true","21","10","21","10"
"Sam Houston","Conference USA","Liberty","Conference USA","401520296","40152029615","15","false","3","80","80","10","9","3","72","72","8","49","1","20","3","8","PUNT","false","10","21","10","21"
