Year,Conference,Offense Rating,Offense Success,Offense Explosiveness,Offense Rushing,Offense Passing,Offense StandardDowns,Offense PassingDowns,Offense RunRate,Offense Pace,Team
2023,ACC,26.65714285714286,,,,,,,,,
2023,American Athletic,24.835714285714285,,,,,,,,,
2023,Big 12,30.935714285714287,,,,,,,,,
2023,Big Ten,22.77857142857143,,,,,,,,,
2023,Conference USA,22.83333333333333,,,,,,,,,
2023,FBS Independents,23.125,,,,,,,,,
2023,Mid-American,16.483333333333334,,,,,,,,,
2023,Mountain West,24.775,,,,,,,,,
2023,Pac-12,32.35,,,,,,,,,
2023,SEC,32.785714285714285,,,,,,,,,
2023,Sun Belt,28.142857142857142,,,,,,,,,
2023,Big Ten,36.6,,,,,,,,,Michigan
2023,SEC,41.5,,,,,,,,,Georgia
2023,Big Ten,45.0,,,,,,,,,Oregon
2023,Big Ten,31.5,,,,,,,,,Ohio State
2023,Big Ten,32.7,,,,,,,,,Penn State
2023,SEC,39.3,,,,,,,,,Texas
2023,SEC,36.8,,,,,,,,,Alabama
2023,FBS Independents,36.3,,,,,,,,,Notre Dame
2023,ACC,34.1,,,,,,,,,Florida State
2023,SEC,36.5,,,,,,,,,Missouri
2023,SEC,44.6,,,,,,,,,LSU
2023,SEC,36.3,,,,,,,,,Ole Miss
2023,Big Ten,40.3,,,,,,,,,Washington
2023,SEC,34.9,,,,,,,,,Tennessee
2023,Big 12,38.9,,,,,,,,,Kansas State
2023,SEC,34.5,,,,,,,,,Texas A&M
2023,SEC,38.5,,,,,,,,,Oklahoma
2023,Big 12,37.3,,,,,,,,,Arizona
2023,Pac-12,33.2,,,,,,,,,Oregon State
2023,Sun Belt,34.6,,,,,,,,,James Madison
2023,Big Ten,28.3,,,,,,,,,Maryland
2023,ACC,29.3,,,,,,,,,Clemson
2023,SEC,31.6,,,,,,,,,Kentucky
2023,ACC,34.1,,,,,,,,,SMU
2023,Big 12,35.6,,,,,,,,,Kansas
2023,Sun Belt,30.7,,,,,,,,,Troy
2023,Big Ten,29.6,,,,,,,,,UCLA
2023,ACC,30.7,,,,,,,,,Miami
2023,ACC,27.3,,,,,,,,,Duke
2023,Big Ten,22.2,,,,,,,,,Wisconsin
2023,Big Ten,43.3,,,,,,,,,USC
2023,Big 12,26.7,,,,,,,,,Utah
2023,ACC,30.1,,,,,,,,,Louisville
2023,Conference USA,36.2,,,,,,,,,Liberty
2023,Big 12,33.5,,,,,,,,,TCU
2023,SEC,26.4,,,,,,,,,Auburn
2023,Big 12,31.5,,,,,,,,,West Virginia
2023,Big 12,26.4,,,,,,,,,Iowa State
2023,ACC,34.4,,,,,,,,,North Carolina
2023,ACC,25.5,,,,,,,,,NC State
2023,SEC,31.1,,,,,,,,,Florida
2023,Big 12,32.8,,,,,,,,,Oklahoma State
2023,Big 12,29.6,,,,,,,,,Texas Tech
2023,Mountain West,25.6,,,,,,,,,Air Force
2023,Mountain West,32.7,,,,,,,,,Boise State
2023,Big Ten,13.8,,,,,,,,,Iowa
2023,ACC,27.5,,,,,,,,,Virginia Tech
2023,American Athletic,31.3,,,,,,,,,UTSA
2023,Sun Belt,30.6,,,,,,,,,South Alabama
2023,Pac-12,31.0,,,,,,,,,Washington State
2023,SEC,28.2,,,,,,,,,South Carolina
2023,Sun Belt,33.5,,,,,,,,,App State
2023,Mid-American,25.5,,,,,,,,,Toledo
2023,American Athletic,37.1,,,,,,,,,Memphis
2023,SEC,28.3,,,,,,,,,Arkansas
2023,Big Ten,21.0,,,,,,,,,Rutgers
2023,Big 12,30.3,,,,,,,,,UCF
2023,American Athletic,26.5,,,,,,,,,Tulane
2023,Mid-American,18.5,,,,,,,,,Miami (OH)
2023,Mountain West,28.9,,,,,,,,,Fresno State
2023,Mountain West,32.1,,,,,,,,,UNLV
2023,SEC,24.7,,,,,,,,,Mississippi State
2023,Big Ten,20.0,,,,,,,,,Minnesota
2023,Sun Belt,32.4,,,,,,,,,Louisiana
2023,Big Ten,15.6,,,,,,,,,Nebraska
2023,ACC,29.4,,,,,,,,,Georgia Tech
2023,ACC,30.6,,,,,,,,,California
2023,Sun Belt,27.6,,,,,,,,,Coastal Carolina
2023,Big Ten,18.5,,,,,,,,,Northwestern
