Offense,Yards,Plays,Scoring,Drive Result,Elapsed Minutes,Elapsed Seconds
Middle Tennessee,-15,3,False,PUNT,1,37
Jacksonville State,20,6,False,INT,1,34
Middle Tennessee,-3,3,False,PUNT,1,38
Jacksonville State,8,6,False,PUNT,2,20
Middle Tennessee,43,4,False,PUNT,2,33
Jacksonville State,4,3,False,PUNT,1,9
Middle Tennessee,42,10,True,FG,3,26
Jacksonville State,20,6,False,PUNT,1,28
Middle Tennessee,5,3,False,PUNT,2,6
Jacksonville State,85,3,True,TD,0,48
Middle Tennessee,75,8,True,TD,3,32
Jacksonville State,4,3,False,PUNT,1,23
Middle Tennessee,71,1,True,TD,0,14
Jacksonville State,23,5,False,DOWNS,1,6
Middle Tennessee,48,4,True,TD,1,12
Jacksonville State,6,3,False,PUNT,0,53
Middle Tennessee,23,6,False,PUNT,1,59
Jacksonville State,6,3,False,PUNT,0,48
Middle Tennessee,8,1,False,END OF HALF,0,14
Jacksonville State,0,3,False,PUNT,0,22
Middle Tennessee,-1,3,False,INT,1,32
Jacksonville State,40,6,True,TD,1,35
Middle Tennessee,18,6,False,PUNT,3,27
Jacksonville State,7,3,False,PUNT,1,18
Jacksonville State,27,4,True,TD,1,25
Middle Tennessee,2,3,False,PUNT,1,25
Jacksonville State,40,9,True,FG,2,53
Middle Tennessee,25,6,False,PUNT,2,41
Jacksonville State,92,3,True,TD,1,8
Middle Tennessee,56,6,False,INT,1,59
Jacksonville State,17,6,True,TD,2,23
Middle Tennessee,48,11,False,DOWNS,3,40
Jacksonville State,5,3,False,PUNT,0,18
Middle Tennessee,-6,1,True,FUMBLE RETURN TD,0,12
Middle Tennessee,75,1,True,TD,0,13
Jacksonville State,7,4,False,MISSED FG,2,25
Middle Tennessee,48,4,False,END OF GAME,1,3
Western Kentucky,1,2,False,INT,0,45
Louisiana Tech,42,5,True,TD,1,40
Western Kentucky,75,2,True,TD,0,32
Louisiana Tech,46,10,False,DOWNS,4,53
Western Kentucky,3,3,False,PUNT,0,38
Louisiana Tech,3,3,False,PUNT,0,52
Western Kentucky,80,2,True,TD,0,23
Louisiana Tech,9,3,False,INT,1,31
Western Kentucky,16,3,True,TD,1,18
Louisiana Tech,14,8,False,PUNT,5,2
Western Kentucky,86,6,True,TD,2,34
Louisiana Tech,0,3,False,PUNT,0,24
Western Kentucky,7,3,False,PUNT,1,32
Louisiana Tech,9,4,False,PUNT,2,5
Western Kentucky,88,14,True,TD,5,26
Louisiana Tech,26,3,False,MISSED FG,0,14
Louisiana Tech,6,3,False,PUNT,2,2
Western Kentucky,18,6,False,PUNT,2,0
Louisiana Tech,65,7,True,TD,2,17
Western Kentucky,29,6,False,DOWNS,3,30
