offense,total_attempts,actual_conversion_rate,avg_predicted_prob
Abilene Christian,13,84.62%,73.76%
Air Force,92,78.26%,78.39%
Akron,127,70.87%,76.70%
Alabama,111,86.49%,77.22%
Alabama A&M,15,20.00%,76.01%
Alabama State,12,75.00%,74.78%
Alcorn State,17,0.00%,71.99%
App State,117,75.21%,78.37%
Arizona,98,87.76%,78.33%
Arizona State,96,78.12%,76.81%
Arkansas,112,73.21%,77.15%
Arkansas State,139,80.58%,76.30%
Arkansas-Pine Bluff,22,50.00%,74.65%
Army,91,76.92%,76.57%
Auburn,141,80.14%,76.28%
Austin Peay,21,47.62%,76.18%
BYU,96,87.50%,78.33%
Ball State,123,74.80%,76.87%
Baylor,112,89.29%,77.37%
Bethune-Cookman,12,100.00%,76.38%
Boise State,115,76.52%,77.20%
Boston College,118,74.58%,74.82%
Bowling Green,127,71.65%,75.85%
Bryant,7,85.71%,79.74%
Bucknell,14,0.00%,73.56%
Buffalo,126,84.13%,77.96%
Cal Poly,13,76.92%,77.83%
California,127,72.44%,76.31%
Campbell,18,88.89%,76.42%
Central Arkansas,19,10.53%,74.69%
Central Connecticut,11,63.64%,76.98%
Central Michigan,111,83.78%,76.69%
Charleston Southern,11,36.36%,73.35%
Charlotte,112,79.46%,76.18%
Chattanooga,10,0.00%,73.71%
Cincinnati,122,84.43%,77.77%
Clemson,121,87.60%,76.09%
Coastal Carolina,107,83.18%,76.16%
Colgate,24,83.33%,76.40%
Colorado,127,62.20%,76.80%
Colorado State,136,63.24%,75.89%
Delaware,15,100.00%,75.84%
Duke,97,89.69%,78.59%
Duquesne,23,65.22%,75.10%
East Carolina,109,80.73%,78.72%
East Tennessee State,10,10.00%,73.47%
Eastern Illinois,5,60.00%,81.97%
Eastern Kentucky,11,63.64%,75.20%
Eastern Michigan,103,84.47%,77.66%
Eastern Washington,25,84.00%,76.13%
Elon,12,58.33%,76.87%
Florida,105,81.90%,77.55%
Florida A&M,10,80.00%,75.94%
Florida Atlantic,108,86.11%,77.10%
Florida International,134,60.45%,76.05%
Florida State,83,92.77%,78.59%
Fordham,5,80.00%,75.96%
Fresno State,98,84.69%,77.54%
Furman,10,100.00%,78.65%
Gardner-Webb,25,72.00%,73.23%
Georgia,106,90.57%,77.90%
