offense,total_attempts,actual_conversion_rate,avg_predicted_prob
Air Force,48,39.58%,31.78%
Akron,32,15.62%,29.00%
Alabama,27,18.52%,29.32%
App State,37,27.03%,25.94%
Arizona,36,22.22%,28.53%
Arizona State,53,32.08%,29.42%
Arkansas,33,42.42%,28.02%
Arkansas State,34,47.06%,31.62%
Army,44,54.55%,33.91%
Auburn,32,34.38%,31.66%
BYU,42,35.71%,29.85%
Ball State,42,35.71%,30.31%
Baylor,48,43.75%,30.18%
Boise State,30,43.33%,33.88%
Boston College,51,29.41%,29.67%
Bowling Green,47,31.91%,28.67%
Buffalo,30,33.33%,31.24%
California,45,17.78%,28.34%
Central Michigan,31,35.48%,32.91%
Charlotte,42,21.43%,30.47%
Cincinnati,41,29.27%,33.66%
Clemson,35,31.43%,33.84%
Coastal Carolina,36,25.00%,26.75%
Colorado,37,29.73%,29.94%
Colorado State,50,32.00%,29.84%
Duke,39,23.08%,31.45%
East Carolina,34,17.65%,30.45%
Eastern Michigan,36,33.33%,32.42%
Florida,24,25.00%,28.18%
Florida Atlantic,57,26.32%,30.14%
Florida International,47,23.40%,32.17%
Florida State,50,42.00%,28.00%
Fresno State,27,29.63%,28.64%
Georgia,46,30.43%,32.05%
Georgia Southern,29,24.14%,28.74%
Georgia State,42,23.81%,27.65%
Georgia Tech,49,28.57%,31.48%
Hawai'i,39,35.90%,30.93%
Houston,36,30.56%,31.69%
Illinois,32,31.25%,26.52%
Indiana,33,39.39%,30.00%
Iowa,23,26.09%,32.49%
Iowa State,42,40.48%,32.42%
Jacksonville State,35,28.57%,33.39%
James Madison,62,25.81%,29.94%
Kansas,26,26.92%,30.21%
Kansas State,42,40.48%,30.58%
Kennesaw State,29,13.79%,28.82%
Kent State,30,26.67%,28.79%
Kentucky,36,33.33%,27.57%
LSU,34,35.29%,28.74%
Liberty,30,33.33%,33.29%
Louisiana,40,37.50%,32.73%
Louisiana Tech,40,27.50%,30.40%
Louisville,35,28.57%,30.52%
Marshall,32,34.38%,30.94%
Maryland,54,22.22%,30.15%
Massachusetts,35,37.14%,32.66%
Memphis,43,30.23%,32.30%
Miami,23,47.83%,34.60%
Miami (OH),33,18.18%,28.38%
Michigan,25,32.00%,30.73%
Michigan State,40,25.00%,29.69%
Middle Tennessee,41,24.39%,29.90%
Minnesota,21,33.33%,30.59%
Mississippi State,48,33.33%,30.81%
Missouri,33,30.30%,31.13%
NC State,20,35.00%,33.54%
Navy,41,31.71%,31.84%
Nebraska,45,20.00%,28.45%
Nevada,44,29.55%,27.48%
New Mexico,30,36.67%,34.52%
New Mexico State,31,29.03%,30.45%
North Carolina,39,30.77%,31.45%
North Texas,59,25.42%,30.20%
Northern Illinois,44,27.27%,31.17%
Northwestern,29,37.93%,29.59%
Notre Dame,40,50.00%,32.23%
Ohio,27,18.52%,31.49%
Ohio State,40,37.50%,31.74%
Oklahoma,41,34.15%,27.30%
Oklahoma State,37,37.84%,32.06%
Old Dominion,25,32.00%,31.82%
Ole Miss,45,35.56%,31.77%
Oregon,27,33.33%,32.55%
Oregon State,57,38.60%,29.80%
Penn State,37,40.54%,32.86%
Pittsburgh,31,32.26%,30.92%
Purdue,25,20.00%,30.63%
Rice,34,20.59%,24.56%
Rutgers,54,22.22%,30.09%
SMU,28,25.00%,32.48%
Sam Houston,45,31.11%,31.60%
San Diego State,45,28.89%,29.88%
San José State,32,25.00%,30.82%
South Alabama,32,31.25%,31.96%
South Carolina,48,27.08%,31.29%
South Florida,45,31.11%,30.53%
Southern Miss,49,30.61%,26.91%
Stanford,55,32.73%,31.50%
Syracuse,44,31.82%,29.67%
TCU,35,45.71%,33.60%
Temple,40,25.00%,28.71%
Tennessee,37,27.03%,30.71%
Texas,49,22.45%,28.95%
Texas A&M,38,26.32%,33.14%
Texas State,32,40.62%,36.31%
Texas Tech,36,33.33%,31.86%
Toledo,42,19.05%,29.68%
Troy,29,24.14%,26.39%
Tulane,29,34.48%,31.42%
Tulsa,52,23.08%,27.43%
UAB,44,34.09%,30.63%
UCF,43,37.21%,27.84%
UCLA,31,22.58%,32.87%
UConn,32,18.75%,28.13%
UL Monroe,37,29.73%,33.66%
UNLV,35,34.29%,32.01%
USC,32,40.62%,31.26%
UTEP,43,16.28%,31.47%
UTSA,43,25.58%,32.50%
Utah,32,25.00%,30.26%
Utah State,42,35.71%,30.64%
Vanderbilt,30,26.67%,30.06%
Virginia,52,21.15%,28.67%
Virginia Tech,45,35.56%,27.16%
Wake Forest,39,46.15%,24.95%
Washington,42,30.95%,32.31%
Washington State,37,32.43%,32.99%
West Virginia,52,32.69%,29.16%
Western Kentucky,47,38.30%,34.02%
Western Michigan,48,29.17%,31.83%
Wisconsin,30,40.00%,32.06%
Wyoming,33,39.39%,31.20%
